,longitud,latitud,tipo
0,-99.13998000000001,19.367720000000002,tiradero
1,-99.0428762,19.203209899999997,tiradero
2,-99.05539300000001,19.296997,tiradero
3,-99.1071599,19.3002,tiradero
4,-99.054197,19.302147,tiradero
5,-99.06987,19.31179,tiradero
6,-99.10775,19.3172,tiradero
7,-99.16412,19.32708,tiradero
8,-99.2531505,19.329050100000003,tiradero
9,-99.08199,19.331139999999998,tiradero
10,-99.0608445,19.3323071,tiradero
11,-99.2268379,19.3336678,tiradero
12,-99.15709,19.3338,tiradero
13,-99.06036999999999,19.335,tiradero
14,-99.03615,19.3369,tiradero
15,-99.08154990000001,19.33768,tiradero
16,-99.01809,19.339029999999998,tiradero
17,-99.2026088,19.3403978,tiradero
18,-98.9961,19.3452,tiradero
19,-99.11714,19.34609,tiradero
20,-98.99984,19.3584,tiradero
21,-99.06483,19.36095,tiradero
22,-99.13639,19.367070000000002,tiradero
23,-99.09936,19.37433,tiradero
24,-99.10319,19.37499,tiradero
25,-99.16835999999999,19.37595,tiradero
26,-99.10833000000001,19.37666,tiradero
27,-99.18952,19.37969,tiradero
28,-99.203525,19.3804137,tiradero
29,-99.17393,19.382479999999997,tiradero
30,-99.10048,19.38256,tiradero
31,-99.16664,19.38285,tiradero
32,-99.16981750000001,19.3831703,tiradero
33,-99.15897,19.38559,tiradero
34,-99.17086,19.38616,tiradero
35,-99.16489,19.38681,tiradero
36,-99.1577,19.39409,tiradero
37,-99.17057,19.395870000000002,tiradero
38,-99.12917,19.39657,tiradero
39,-99.15505,19.3982,tiradero
40,-99.1493,19.399810000000002,tiradero
41,-99.15328000000001,19.40181,tiradero
42,-99.14788,19.402060000000002,tiradero
43,-99.15128,19.40212,tiradero
44,-99.15055,19.40546,tiradero
45,-99.07119190000002,19.406524800000003,tiradero
46,-99.19629029999999,19.407339399999998,tiradero
47,-99.18353,19.41299,tiradero
48,-99.15304,19.41389,tiradero
49,-99.15451999999999,19.41595,tiradero
50,-99.12581999999999,19.42434,tiradero
51,-99.1204288,19.4264287,tiradero
52,-99.1426,19.429170000000003,tiradero
53,-99.14473000000001,19.43705,tiradero
54,-99.11820859999999,19.439924800000004,tiradero
55,-99.13476,19.44021,tiradero
56,-99.1314488,19.4421394,tiradero
57,-99.14926,19.44368,tiradero
58,-99.14498,19.44574,tiradero
59,-99.13501,19.446260000000002,tiradero
60,-99.12913,19.447010000000002,tiradero
61,-99.12876999999999,19.44878,tiradero
62,-99.116926,19.4502824,tiradero
63,-99.1153807,19.4522687,tiradero
64,-99.13105,19.45549,tiradero
65,-99.18180490000002,19.4632753,tiradero
66,-99.19847,19.33914,tiradero
67,-99.12456,19.43194,tiradero
68,-98.9998334,19.173321100000003,tiradero
69,-99.02665859999999,19.1958671,tiradero
70,-98.98983869999999,19.2144169,tiradero
71,-99.009488,19.261157,tiradero
72,-98.99954,19.294262,tiradero
