ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
CIEN METROS,SANTIAGO ATEPETLAC 2532,GUSTAVO A. MADERO,19.526566,-99.158889,2,PILARES
NUEVA ATZACOALCO,NUEVA ATZACOALCO,GUSTAVO A. MADERO,19.500773,-99.084833,2,PILARES
CENTENARIO,JUAN GONZALEZ ROMERO,GUSTAVO A. MADERO,19.5091056,-99.0906167,2,PILARES
EJIDOS DE SAN JUAN DE ARAGÓN,EX EJIDO SAN JUAN DE ARAGON SECTOR 33,GUSTAVO A. MADERO,19.469485,-99.091333,2,PILARES
MAGDALENA DE LAS SALINAS,MAGDALENA DE LAS SALINAS,GUSTAVO A. MADERO,19.478502,-99.14573,4,PILARES
BENEMÉRITO DE LAS AMÉRICAS,EL ARBOLILLO,GUSTAVO A. MADERO,19.535054,-99.138472,2,PILARES
LA MUELA,ZONA ESCOLAR ORIENTE,GUSTAVO A. MADERO,19.532677,-99.143968,4,PILARES
MAZATLAN,BARRIO CANDELARIA TICOMAN,GUSTAVO A. MADERO,19.5214467,-99.1418887,2,PILARES
RICHARD WAGNER,VALLEJO,GUSTAVO A. MADERO,19.46552,-99.129176,3,PILARES
BENITA GALEANA,NUEVA TENOCHTITLAN,GUSTAVO A. MADERO,19.455286,-99.100512,2,PILARES
TLALPEXCO,TLALPEXCO,GUSTAVO A. MADERO,19.544812,-99.125766,2,PILARES
EL VIVERO,ARBOLEDAS DE CUAUTEPEC 2085,GUSTAVO A. MADERO,19.561881,-99.126161,6,PILARES
ZAPATA VELA,CARLOS ZAPATA VELA,IZTACALCO,19.38224,-99.096726,1,PILARES
ROJO GÓMEZ,AGRICOLA ORIENTAL,IZTACALCO,19.404725,-99.0709694,1,PILARES
LA FORTALEZA,GABRIEL RAMOS MILLAN SECCION CUCHILLA,IZTACALCO,19.387699,-99.091602,4,PILARES
REFORMA IZTLACIHUATL,REFORMA IZTACCIHUATL NORTE,IZTACALCO,19.386334,-99.1326513,1,PILARES
PLUTARCO ELÍAS CALLES (COYUYA),FRACCIONAMIENTO COYUYA,IZTACALCO,19.3983024,-99.1139967,1,PILARES
AGRÍCOLA PANTITLÁN,AGRICOLA PANTITLAN,IZTACALCO,19.415431,-99.068333,2,PILARES
JOSÉ MARTÍ,LA ASUNCION,IZTACALCO,19.39048,-99.121215,2,PILARES
RENOVACIÓN,RENOVACION,IZTAPALAPA,19.3694528,-99.0469889,3,PILARES
VILLA CID,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,19.321479,-99.042488,2,PILARES
YAUTLICA,CAMPESTRE POTRERO 2127,IZTAPALAPA,19.333532,-98.984321,5,PILARES
CERRO AZUL,BUENAVISTA,IZTAPALAPA,19.326091,-99.02777,4,PILARES
NOGAL,CITLALLI 2135,IZTAPALAPA,19.341913,-99.022999,3,PILARES
ADOLFO LOPEZ MATEOS (SANTA CRUZ MEYEHUALCO),SANTA CRUZ MEYEHUALCO 2497,IZTAPALAPA,19.348739,-99.04458,6,PILARES
PURISIMA,PURISIMA ATLAZOLPA,IZTAPALAPA,19.379166,-99.109813,1,PILARES
ESCUADRON 201,GRANJAS DE SAN ANTONIO,IZTAPALAPA,19.370111,-99.107905,2,PILARES
PROGRESO SUR,ESCUADRON 201,IZTAPALAPA,19.356763,-99.113051,2,PILARES
EMILIO ROSAS,UNIDAD VICENTE GUERRERO,IZTAPALAPA,19.352747,-99.056347,3,PILARES
LOMAS DE ZARAGOZA,SANTIAGO ACAHUALTEPEC,IZTAPALAPA,19.358423,-98.999942,2,PILARES
CONSTITUCION DE 1917,LOS ANGELES,IZTAPALAPA,19.344302,-99.061208,1,PILARES
CERRO DE LA ESTRELLA,SAN JUAN CERRO,IZTAPALAPA,19.345522,-99.081296,2,PILARES
FACUNDO CABRAL,LOS REYES CULHUACAN 2313,IZTAPALAPA,19.34347,-99.102391,2,PILARES
PALMITAS,CITLALLI 2135,IZTAPALAPA,19.3389556,-99.02585,2,PILARES
TETECÓN,PARAJES BUENAVISTA (TETECON),IZTAPALAPA,19.322458,-99.029068,3,PILARES
TEPALCATES,TEPALCATES,IZTAPALAPA,19.393019,-99.055637,8,PILARES
CARLOTA BOTEY,LOS ANGELES,IZTAPALAPA,19.340985,-99.066251,4,PILARES
BAMBU,LOMAS DE LA ESTANCIA,IZTAPALAPA,19.340415,-99.005283,3,PILARES
ERMITA,ERMITA ZARAGOZA,IZTAPALAPA,19.364176,-99.002297,2,PILARES
ACAHUALTEPEC,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,IZTAPALAPA,19.346043,-99.008134,3,PILARES
GABRIELA MISTRAL,LEYES DE REFORMA 1RA SECCION,IZTAPALAPA,19.35998,-99.068819,2,PILARES
COOPEREMOS PUEBLO,SANTA CRUZ MEYEHUALCO 2498,IZTAPALAPA,19.341289,-99.040762,2,PILARES
CENTRAL DE ABASTO,SAN JOSE,IZTAPALAPA,19.373836,-99.099146,2,PILARES
TIERRA Y LIBERTAD,AMPLIACION EMILIANO ZAPATA,IZTAPALAPA,19.338699,-98.978851,8,PILARES
VALLE DE LUCES,VALLE DE LUCES 2581,IZTAPALAPA,19.338014,-99.098174,4,PILARES
REFORMA POLITICA (DIF LA FORD),SIERRA DEL VALLE,IZTAPALAPA,19.343803,-99.030843,5,PILARES
SAN BERNABE (PARCELA),LOMAS DE SAN BERNABE 2279,LA MAGDALENA CONTRERAS,19.310505,-99.26487,3,PILARES
LA MALINCHE,LA MALINCHE,LA MAGDALENA CONTRERAS,19.323069,-99.239324,3,PILARES
HUAYATLA,PUEBLO NUEVO ALTO,LA MAGDALENA CONTRERAS,19.305281,-99.248611,3,PILARES
PENSIL,REFORMA PENSIL,MIGUEL HIDALGO,19.448865,-99.194416,5,PILARES
CANEGUÍN,ARGENTINA ANTIGUA,MIGUEL HIDALGO,19.454707,-99.205167,3,PILARES
XALTIPAC,XALTIPAC,MILPA ALTA,19.2172528,-98.9890694,1,PILARES
XICOMULCO,SAN BARTOLOME XICOMULCO,MILPA ALTA,19.206875,-99.0711861,2,PILARES
ATOCPAN,TULA,MILPA ALTA,19.2027167,-99.0520528,2,PILARES
CUAUHTENCO,SAN SALVADOR CUAUHTENCO,MILPA ALTA,19.193876,-99.091524,2,PILARES
MIXQUIC,SANTA CRUZ,TLÁHUAC,19.22628,-98.952682,2,PILARES
MURCIELAGO,MIGUEL HIDALGO 2331,TLÁHUAC,19.291631,-99.049286,2,PILARES
PAULO FREIRE,EL TRIANGULO,TLÁHUAC,19.2835917,-99.0118667,2,PILARES
MIGUEL HIDALGO,MIGUEL HIDALGO 2330,TLÁHUAC,19.292795,-99.046098,2,PILARES
TLALTENCO,SELENE 2546,TLÁHUAC,19.2911028,-99.0092678,2,PILARES
COCODRILO,LOS OLIVOS 2309,TLÁHUAC,19.30193,-99.059548,11,PILARES
LA NOPALERA,SAN LORENZO,XOCHIMILCO,19.2664247,-99.0550277,1,PILARES
GARCÍA LORCA,ZAPOTITLA 2597,TLÁHUAC,19.31159,-99.036944,2,PILARES
ROSARIO CASTELLANOS,SANTA CECILIA,TLÁHUAC,19.278319,-99.007967,2,PILARES
ESCUELA PARA LA VIDA,LA ASUNCION,TLÁHUAC,19.244205,-98.994686,1,PILARES
CUCHILLA DE PADIERNA,LOMAS DEL PEDREGAL CUCHILLA DE PADIERNA,TLALPAN,19.276072,-99.216792,3,PILARES
LA JOYA,LA JOYA 2247,TLALPAN,19.27879,-99.167388,2,PILARES
ECOGUARDAS,SIN NOMBRE 2613,TLALPAN,19.2710778,-99.2046278,1,PILARES
TIZIMÍN,JARDINES DEL AJUSCO,TLALPAN,19.2895444,-99.2163361,2,PILARES
BELVEDERE,2 DE OCTUBRE 2062,TLALPAN,19.2673742,-99.2291582,4,PILARES
CHICHICASPALT,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.277821,-99.24,3,PILARES
TOPILEJO,SAN MIGUEL TOPILEJO 2479,TLALPAN,19.198853,-99.14127,4,PILARES
FRAY SERVANDO,UNIDAD KENNEDY,VENUSTIANO CARRANZA,19.419694,-99.111491,2,PILARES
AV DEL TALLER,JARDIN BALBUENA 2225,VENUSTIANO CARRANZA,19.413715,-99.113186,2,PILARES
VIADUCTO,JARDIN BALBUENA 2225,VENUSTIANO CARRANZA,19.407176,-99.113285,2,PILARES
CANDELARIA DE LOS PATOS,ZONA CENTRO 2603,VENUSTIANO CARRANZA,19.4317868,-99.1199081,9,PILARES
TLAXIALTEMALCO,SAN LUIS TLAXIALTEMALCO,XOCHIMILCO,19.255875,-99.035707,4,PILARES
SAN GREGORIO ATLAPULCO,SAN GREGORIO ATLAPULCO 2426,XOCHIMILCO,19.256244,-99.060777,3,PILARES
SAN LUCAS XOCHIMANCA,SAN LUCAS XOCHIMANCA 2447,XOCHIMILCO,19.245058,-99.114144,3,PILARES
SANTIAGO TEPALCATLALPAN,SANTIAGO TEPALCATLALPAN 2537,XOCHIMILCO,19.247969,-99.127547,2,PILARES
SANTA CECILIA TEPETLAPA,SANTA CECILIA TEPETLAPA,XOCHIMILCO,19.21602,-99.099274,2,PILARES
TEPEPAN,SANTA MARIA TEPEPAN,XOCHIMILCO,19.280978,-99.137471,3,PILARES
ACUEXCOMATL,SAN LUIS TLAXIALTEMALCO,XOCHIMILCO,19.261002,-99.028635,4,PILARES
TULYEHUALCO,BARRIO CALYEQUITA,TLÁHUAC,19.254388,-99.011498,1,PILARES
SAN FRANCISCO,PEDREGAL DE SAN FRANCISCO,XOCHIMILCO,19.203271,-99.129225,2,PILARES
AHUALAPA,SANTA CRUZ ACALPIXCA,XOCHIMILCO,19.246294,-99.070251,3,PILARES
BUENAVISTA,BUENAVISTA,CUAUHTÉMOC,19.449585,-99.147484,6,PILARES
CIGAMEC,SAN FELIPE DE JESUS,GUSTAVO A. MADERO,19.500566,-99.074405,5,PILARES
COLOSIO (IXTLAHUACAN),IZTLAHUACAN,IZTAPALAPA,19.342305,-98.996397,5,PILARES
8 DE AGOSTO,8 DE AGOSTO 2068,BENITO JUÁREZ,19.39549,-99.187888,4,PILARES
HERRERIA,SANTA CRUZ,MILPA ALTA,19.193473,-99.01894,3,PILARES
TACUBA,SAN DIEGO OCOYOACAC,MIGUEL HIDALGO,19.460152,-99.190005,2,PILARES
TEPITO MORELOS,MORELOS,CUAUHTÉMOC,19.444183,-99.130603,7,PILARES
DIF ADOLFO LOPEZ MATEOS,ADOLFO LOPEZ MATEOS 2075,VENUSTIANO CARRANZA,19.4211424,-99.0732566,2,PILARES
CENDI CASAS ALEMÁN,CERRO PRIETO,GUSTAVO A. MADERO,19.4529497,-99.0980173,2,PILARES
TEZONTLE,LOS PICOS DE IZTACALCO SECCION 1RA 2311,IZTACALCO,19.388294,-99.112528,1,PILARES
CENDI TRES ESTRELLAS,TRES ESTRELLAS,GUSTAVO A. MADERO,19.4713525,-99.1108762,3,PILARES
TOKYO,MALACATES 2322,GUSTAVO A. MADERO,19.576577,-99.1370987,3,PILARES
ALÍ CHUMASERO,LA PURISIMA TICOMAN,GUSTAVO A. MADERO,19.512242,-99.13989,5,PILARES
CUCHILLA DEL TESORO,CUCHILLA DEL TESORO 2154,GUSTAVO A. MADERO,19.4485466,-99.0548749,5,PILARES
REPÚBLICA,SANTA MARTHA ACATITLA 2520,IZTAPALAPA,19.371889,-99.016327,6,PILARES
CENDI GERTRUDIS SANCHEZ,GERTRUDIS SANCHEZ 2DA SECCION 2209,GUSTAVO A. MADERO,19.464174,-99.1013549,2,PILARES
VASCO DE QUIROGA,VASCO DE QUIROGA,GUSTAVO A. MADERO,19.496292,-99.0929588,5,PILARES
ANA BOLENA,MIGUEL HIDALGO 2335,TLÁHUAC,19.291943,-99.054019,6,PILARES
LA CONCHITA,LIBERALES DE 1857,ÁLVARO OBREGÓN,19.3923704,-99.2156813,5,PILARES
EL MOLINO TEZONCO,JARDINES DE SAN LORENZO TEZONCO,IZTAPALAPA,19.294874,-99.0737936,4,PILARES
CASAS ALEMÁN (GRAN CANAL),AMPLIACION CASAS ALEMAN,GUSTAVO A. MADERO,19.478371,-99.089908,6,PILARES
CALHUACATZINGO (SALINAS),LAS SALINAS,AZCAPOTZALCO,19.489081,-99.166313,4,PILARES
BOSQUES,BOSQUES DEL PEDREGAL,TLALPAN,19.2713222,-99.2393052,3,PILARES
LA CASITA,SAN JUAN TEPEPAN,XOCHIMILCO,19.271733,-99.127966,3,PILARES
JOSE MUJICA,CTM VII CULHUACAN,COYOACÁN,19.325762,-99.105857,6,PILARES
DIF AJUSCO (SAN MIGUEL AJUSCO),SAN MIGUEL AJUSCO 2465,TLALPAN,19.229712,-99.195181,5,PILARES
PLAZA DE LOS JÓVENES,XALPA,IZTAPALAPA,19.331153,-99.017227,5,PILARES
VELÓDROMO,JARDIN BALBUENA 2225,VENUSTIANO CARRANZA,19.4102343,-99.1043163,4,PILARES
EL MOLINO,CANANEA,IZTAPALAPA,19.29246,-99.061881,5,PILARES
FARO AZCAPOTZALCO (EL ROSARIO),EL ROSARIO 2183,AZCAPOTZALCO,19.508204,-99.19979,1,PILARES
CHALMITA,SAN MIGUEL,MILPA ALTA,19.183356,-99.075385,4,PILARES
CENDI ESTRELLA,ESTRELLA,GUSTAVO A. MADERO,19.4759447,-99.1156934,3,PILARES
CENDI ZAPATA (TABLAS DE SAN AGUSTIN),TABLAS DE SAN AGUSTIN,GUSTAVO A. MADERO,19.4633807,-99.115775,3,PILARES
SAN LORENZO ATEMOAYA,SAN LUCAS XOCHIMANCA 2448,XOCHIMILCO,19.245547,-99.1037972,1,PILARES
FARO MIACATLAN,SAN JERONIMO MIACATLAN,MILPA ALTA,19.1931104,-99.0118669,1,PILARES
SANTA ANITA (CONGRESO DE LA UNION),SANTA ANITA 2492,IZTACALCO,19.404044,-99.121628,2,PILARES
GUADALUPE VICTORIA (LA COMUNA),ZONA ESCOLAR ORIENTE,GUSTAVO A. MADERO,19.5411517,-99.1422479,5,PILARES
SANTA MARTHA ACATITLA NORTE (PATOLLI),SANTA MARTHA ACATITLA 2522,IZTAPALAPA,19.36954547,-99.0086694,5,PILARES
DIF MIGUEL HIDALGO,MIGUEL HIDALGO 2DA SECCION,TLALPAN,19.28476453,-99.19591073,6,PILARES
CONTADERO,CONTADERO,CUAJIMALPA DE MORELOS,19.34830062,-99.30271036,5,PILARES
(SAN FRANCISCO) FERROCARRIL DE CUERNAVACA,SAN FRANCISCO 2417,LA MAGDALENA CONTRERAS,19.31246101,-99.23339366,5,PILARES
SALECIANO,ANAHUAC,MIGUEL HIDALGO,19.44787295,-99.17718816,3,PILARES
HUIPULCO,CARMEN SERDAN 2132,COYOACÁN,19.30119077,-99.14713573,1,PILARES
DIAZ MIRON,SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,19.4881976,-99.09935331,4,PILARES
SANTA MARIA TICOMAN,LOMA LA PALMA,GUSTAVO A. MADERO,19.55024835,-99.14339659,3,PILARES
SAN JUAN DE ARAGON VI SECCION,SAN JUAN DE ARAGON VI SECCION,GUSTAVO A. MADERO,19.46669997,-99.06590337,3,PILARES
SAN JUAN DE ARAGON VII SECCION,SAN JUAN DE ARAGON VII SECCION,GUSTAVO A. MADERO,19.47010614,-99.07549894,2,PILARES
APATLACO,CAMPAMENTO 2 DE OCTUBRE 2118,IZTACALCO,19.38193034,-99.11484366,5,PILARES
PROGRESO NACIONAL,NUEVA INDUSTRIAL VALLEJO,GUSTAVO A. MADERO,19.51638484,-99.15282894,4,PILARES
CASA AMARILLA,OBSERVATORIO,MIGUEL HIDALGO,19.40647118,-99.1892806,2,PILARES
SAN JUAN TEPENAHUAC,SAN JUAN TEPENAHUAC,MILPA ALTA,19.18738335,-98.99414133,2,PILARES
VILLA DE ARAGÓN,VILLA DE ARAGON 2592,GUSTAVO A. MADERO,19.4630273,-99.05807649,5,PILARES
AMPLIACIÓN PROVIDENCIA,PROVIDENCIA 2395,GUSTAVO A. MADERO,19.4787683,-99.0724832,5,PILARES
AGRÍCOLA ORIENTAL (SACMEX),AGRICOLA ORIENTAL,IZTACALCO,19.386486,-99.064429,7,PILARES
SAN JUAN DE ARAGON II SECCION,SAN JUAN DE ARAGON I SECCION 2437,GUSTAVO A. MADERO,19.45450945,-99.0855139,3,PILARES
PROVIDENCIA (ZACATECAS),PROVIDENCIA 2395,GUSTAVO A. MADERO,19.48387686,-99.07081732,3,PILARES
JARDINES TECMA,LOS PICOS DE IZTACALCO SECCION 1RA 2311,IZTACALCO,19.38853782,-99.11594081,4,PILARES
SAN JUAN JOYA,PARAJE SAN JUAN JOYA,IZTAPALAPA,19.33605054,-99.06719425,1,PILARES
CARLOS PACHECO,EJERCITO DE ORIENTE,IZTAPALAPA,19.3672784,-99.02813695,5,PILARES
EJE 5 SUR (CIRCUNVALACION),SANTA MARIA AZTAHUACAN 2506,IZTAPALAPA,19.366459,-99.03991866,4,PILARES
CALMECAC,MIRAVALLES 2339,IZTAPALAPA,19.33414927,-98.99696903,4,PILARES
SAN LORENZO TLACOYUCAN,SAN LORENZO TLACOYUCAN,MILPA ALTA,19.17773799,-99.03018647,5,PILARES
TIERRA BLANCA,TIERRA BLANCA,TLÁHUAC,19.23944536,-99.00514403,5,PILARES
SANTA CATARINA,LA CONCEPCION 2238,TLÁHUAC,19.3186944,-98.963997,4,PILARES
ALAMEDA ORIENTE,MEXICO,VENUSTIANO CARRANZA,19.431766,-99.053946,5,PILARES
FELIPE ANGELES,FELIPE ANGELES,VENUSTIANO CARRANZA,19.4525204,-99.11354133,4,PILARES
NIÑO QUEMADO,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,19.43743465,-99.08569963,5,PILARES
MUYUGUARDA (BARRIO 18),BARRIO 18 2099,XOCHIMILCO,19.27556598,-99.11850886,5,PILARES
SAN MARCOS,SAN MARCOS 2450,XOCHIMILCO,19.27028961,-99.11176745,5,PILARES
CENDI RAMON CORONA,INDUSTRIAL,GUSTAVO A. MADERO,19.4760493,-99.1244396,2,PILARES
GRAN CANAL DEL NORTE,SIMON BOLIVAR 2549,VENUSTIANO CARRANZA,19.44769097,-99.10316427,3,PILARES
