ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
MC11359,LOMAS DE PADIERNA 2277,TLALPAN,19.29844,-99.224927,1,Mi_Barrio
MC11373,PEDREGAL DE SAN NICOLAS 2DA SECCION,TLALPAN,19.28677,-99.23691,1,Mi_Barrio
MC11408,LOMAS DE PADIERNA 2277,TLALPAN,19.294965,-99.22272,1,Mi_Barrio
MC11394,LOMAS DE PADIERNA 2277,TLALPAN,19.294933,-99.220857,1,Mi_Barrio
MC11395,LOMAS DE PADIERNA 2277,TLALPAN,19.29475,-99.22246,1,Mi_Barrio
MC11409,LOMAS DE PADIERNA 2277,TLALPAN,19.29045,-99.22434,1,Mi_Barrio
MC11368,LOMAS DE PADIERNA 2277,TLALPAN,19.290018,-99.228583,1,Mi_Barrio
MC11393,LOMAS DE PADIERNA 2277,TLALPAN,19.293591,-99.220842,1,Mi_Barrio
MC11363,LOMAS DE PADIERNA 2277,TLALPAN,19.292012,-99.221394,1,Mi_Barrio
MC11414,LOMAS DE PADIERNA 2277,TLALPAN,19.29042,-99.22434,1,Mi_Barrio
MC11398,LOMAS DE PADIERNA 2277,TLALPAN,19.299044,-99.228704,1,Mi_Barrio
MC11543,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.28398,-99.204997,1,Mi_Barrio
MC11469,MESA LOS HORNOS,TLALPAN,19.274518,-99.182287,1,Mi_Barrio
MC11463,MESA LOS HORNOS,TLALPAN,19.272208,-99.183582,1,Mi_Barrio
MC11464,MESA LOS HORNOS,TLALPAN,19.274722,-99.184303,1,Mi_Barrio
MC11462,MESA LOS HORNOS,TLALPAN,19.274188,-99.182398,1,Mi_Barrio
MC11476,MESA LOS HORNOS,TLALPAN,19.274513,-99.18327,1,Mi_Barrio
MC11587,MIGUEL HIDALGO 4TA SECCION,TLALPAN,19.273438,-99.20845,1,Mi_Barrio
MC11552,MIGUEL HIDALGO 4TA SECCION,TLALPAN,19.278172,-99.210496,1,Mi_Barrio
MC11531,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.280548,-99.208493,1,Mi_Barrio
MC11564,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.277775,-99.205841,1,Mi_Barrio
MC11521,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.283638,-99.20601,1,Mi_Barrio
MC11572,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.278492,-99.20542,1,Mi_Barrio
MC11533,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.278859,-99.202192,1,Mi_Barrio
MC11540,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.28109,-99.207347,1,Mi_Barrio
MC11549,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.28517,-99.20767,1,Mi_Barrio
MC11524,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.283383,-99.210632,1,Mi_Barrio
MC11534,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.281244,-99.206367,1,Mi_Barrio
MC11535,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.283346,-99.20688,1,Mi_Barrio
MC11538,MIGUEL HIDALGO 3RA SECCION,TLALPAN,19.278209,-99.205236,1,Mi_Barrio
MC11600,PARAJE 38,TLALPAN,19.263807,-99.205368,1,Mi_Barrio
MC11594,MIGUEL HIDALGO 4TA SECCION,TLALPAN,19.278158,-99.210503,1,Mi_Barrio
MC11611,LOS VOLCANES 2320,TLALPAN,19.270128,-99.179908,1,Mi_Barrio
MC11299,PARAJE 38,TLALPAN,19.266904,-99.210338,1,Mi_Barrio
MC11636,PARAJE 38,TLALPAN,19.266932,-99.210446,1,Mi_Barrio
MC11739,PEDREGAL DE SAN NICOLAS 1RA SECCION 2373,TLALPAN,19.284203,-99.232277,1,Mi_Barrio
MC11708,LOMAS DE PADIERNA 2277,TLALPAN,19.291362,-99.229915,1,Mi_Barrio
MC11681,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.297441,-99.232016,1,Mi_Barrio
MC11705,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.290943,-99.235795,1,Mi_Barrio
MC11666,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.292197,-99.238897,1,Mi_Barrio
MC11667,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.29314,-99.237915,1,Mi_Barrio
MC11669,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.297117,-99.231024,1,Mi_Barrio
MC11676,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.294847,-99.23569,1,Mi_Barrio
MC11683,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.295539,-99.231653,1,Mi_Barrio
MC11689,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.294033,-99.232962,1,Mi_Barrio
MC11670,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.294066,-99.231817,1,Mi_Barrio
MC11687,PEDREGAL DE SAN NICOLAS 1RA SECCION 2374,TLALPAN,19.292232,-99.238062,1,Mi_Barrio
